型号,b_mm,d_mm,r_mm,截面面积_cm2,理论重量_kg/m,外表面积_m2/m,Ix_cm4,Ix1_cm4,Ix0_cm4,Iy0_cm4,ix_cm,ix0_cm,iy0_cm,Wx_cm3,Wx0_cm3,Wy0_cm3,Z0_cm
L45x5,45,5,5,4.292,3.37,0.176,8.04,15.2,12.7,3.33,1.37,1.72,0.88,2.51,4.00,1.81,1.30
L45x6,45,6,5,5.077,3.99,0.176,9.33,18.4,14.8,3.89,1.36,1.70,0.80,2.95,4.64,2.06,1.33
L50x3,50,3,5.5,2.971,2.33,0.197,7.18,12.5,11.4,2.98,1.55,1.96,1.00,1.96,3.22,1.57,1.34
L50x4,50,4,5.5,3.897,3.06,0.197,9.26,16.7,14.7,3.82,1.54,1.94,0.99,2.56,4.16,1.96,1.38
L50x5,50,5,5.5,4.803,3.77,0.196,11.2,20.9,17.8,4.64,1.53,1.92,0.98,3.13,5.03,2.31,1.42
L50x6,50,6,5.5,5.688,4.46,0.196,13.1,25.1,20.7,5.42,1.52,1.91,0.98,3.68,5.85,2.63,1.46
L56x3,56,3,6,3.343,2.62,0.221,10.2,17.6,16.1,4.24,1.75,2.20,1.13,2.48,4.08,2.02,1.48
L56x4,56,4,6,4.39,3.45,0.220,13.2,23.4,20.9,5.46,1.73,2.18,1.11,3.24,5.28,2.52,1.53
L56x5,56,5,6,5.415,4.25,0.220,16.0,29.3,25.4,6.61,1.72,2.17,1.10,3.97,6.42,2.98,1.57
L56x6,56,6,6,6.42,5.04,0.220,18.7,35.3,29.7,7.73,1.71,2.15,1.10,4.68,7.49,3.40,1.61
L56x7,56,7,6,7.404,5.81,0.219,21.2,41.2,33.6,8.82,1.69,2.13,1.09,5.36,8.49,3.80,1.64
L56x8,56,8,6,8.367,6.57,0.219,23.6,47.2,37.4,9.89,1.68,2.11,1.09,6.03,9.44,4.16,1.68
L60x5,60,5,6.5,5.829,4.58,0.236,19.9,36.1,31.6,8.21,1.85,2.33,1.19,4.59,7.44,3.48,1.67
L60x6,60,6,6.5,6.914,5.43,0.235,23.4,43.3,36.9,9.60,1.83,2.31,1.18,5.41,8.70,3.98,1.70
L60x7,60,7,6.5,7.977,6.26,0.235,26.4,50.7,41.9,11.0,1.82,2.29,1.17,6.21,9.88,4.45,1.74
L60x8,60,8,6.5,9.02,7.08,0.235,29.5,58.0,46.7,12.3,1.81,2.27,1.17,6.98,11.0,4.88,1.78
L63x4,63,4,7,4.978,3.91,0.248,19.0,33.4,30.2,7.89,1.96,2.46,1.26,4.13,6.78,3.29,1.70
L63x5,63,5,7,6.143,4.82,0.248,23.2,41.7,36.8,9.57,1.94,2.45,1.25,5.08,8.25,3.90,1.74
L63x6,63,6,7,7.288,5.72,0.247,27.1,50.1,43.0,11.2,1.93,2.43,1.24,6.00,9.66,4.46,1.78
L63x7,63,7,7,8.412,6.60,0.247,30.9,58.6,49.0,12.8,1.92,2.41,1.23,6.88,11.0,4.98,1.82
L63x8,63,8,7,9.515,7.47,0.247,34.5,67.1,54.6,14.3,1.90,2.40,1.23,7.75,12.3,5.47,1.85
L63x10,63,10,7,11.66,9.15,0.246,41.1,84.3,64.9,17.3,1.88,2.36,1.22,9.39,14.6,6.36,1.93
L70x4,70,4,8,5.570,4.37,0.275,26.4,45.7,41.8,11.0,2.18,2.74,1.40,5.14,8.44,4.17,1.86
L70x5,70,5,8,6.876,5.40,0.275,32.2,57.2,51.1,13.3,2.16,2.73,1.39,6.32,10.3,4.95,1.91
L70x6,70,6,8,8.160,6.41,0.275,37.8,68.7,59.9,15.6,2.15,2.71,1.38,7.48,12.1,5.67,1.95
L70x7,70,7,8,9.424,7.40,0.275,43.1,80.3,68.4,17.8,2.14,2.69,1.38,8.59,13.8,6.34,1.99
L70x8,70,8,8,10.67,8.37,0.274,48.2,91.9,76.4,20.0,2.12,2.68,1.37,9.68,15.4,6.98,2.03
L75x5,75,5,9,7.412,5.82,0.295,40.0,70.6,63.3,16.6,2.33,2.92,1.50,7.32,11.9,5.77,2.04
L75x6,75,6,9,8.797,6.91,0.294,47.0,84.6,74.4,19.5,2.31,2.90,1.49,8.64,14.0,6.67,2.07
L75x7,75,7,9,10.16,7.98,0.294,53.6,98.7,85.0,22.2,2.30,2.89,1.48,9.93,16.0,7.44,2.11
L75x8,75,8,9,11.50,9.03,0.294,60.0,113,95.1,24.9,2.28,2.88,1.47,11.2,17.9,8.19,2.15
L75x9,75,9,9,12.83,10.1,0.294,66.1,127,105,27.5,2.27,2.86,1.46,12.4,19.8,8.89,2.18
L75x10,75,10,9,14.13,11.1,0.293,72.0,142,114,30.1,2.26,2.84,1.46,13.6,21.5,9.56,2.22
L80x5,80,5,9,7.912,6.21,0.315,48.8,85.4,77.3,20.3,2.48,3.13,1.60,8.34,13.7,6.66,2.15
L80x6,80,6,9,9.397,7.38,0.314,57.4,103,91.0,23.7,2.47,3.11,1.59,9.87,16.1,7.65,2.19
L80x7,80,7,9,10.86,8.53,0.314,65.6,120,104,27.1,2.46,3.10,1.58,11.4,18.4,8.58,2.23
L80x8,80,8,9,12.30,9.66,0.314,73.5,137,117,30.4,2.44,3.08,1.57,12.8,20.6,9.46,2.27
L80x9,80,9,9,13.73,10.8,0.314,81.1,154,129,33.6,2.43,3.06,1.56,14.3,22.7,10.3,2.31
L80x10,80,10,9,15.13,11.9,0.313,88.4,172,140,36.8,2.42,3.04,1.56,15.6,24.8,11.1,2.35
L90x6,90,6,10,10.64,8.35,0.354,82.8,146,131,34.3,2.79,3.51,1.80,12.6,20.6,9.95,2.44
L90x7,90,7,10,12.30,9.66,0.354,94.8,170,150,39.2,2.78,3.50,1.78,14.5,23.6,11.2,2.48
L90x8,90,8,10,13.94,10.9,0.353,106,195,169,44.0,2.76,3.48,1.78,16.4,26.6,12.4,2.52
L90x9,90,9,10,15.57,12.2,0.353,118,219,187,48.7,2.75,3.46,1.77,18.3,29.4,13.5,2.56
L90x10,90,10,10,17.17,13.5,0.353,129,244,204,53.3,2.74,3.45,1.76,20.1,32.0,14.5,2.59
L90x12,90,12,10,20.31,15.9,0.352,149,294,236,62.2,2.71,3.41,1.75,23.6,37.1,16.5,2.67
L100x6,100,6,12,11.93,9.37,0.393,115,200,182,47.9,3.10,3.90,2.00,15.7,25.7,12.7,2.67
L100x7,100,7,12,13.80,10.8,0.393,132,234,209,54.7,3.09,3.89,1.99,18.1,29.6,14.3,2.71
