型号,H,B,t1,t2,r,截面面积_cm2,理论重量_kg/m,外表面积_m2/m,Ix_cm4,Iy_cm4,ix_cm,iy_cm,Wx_cm3,Wy_cm3,基准规格△
H350×350,364,353,15,26,13,231.8,182,2.09,56700,19100,15.6,9.07,3110,1080,
H350×350,370,355,17,29,13,260.4,204,2.10,64600,21600,15.8,9.12,3490,1220,
H350×350,390,359,21,39,13,347.0,272,2.15,92300,30100,16.3,9.31,4730,1680,
H400×150,390,148,6,8,13,47.57,37.3,1.34,11700,434,15.7,3.01,602,58.6,
H400×150,400,150,8,13,13,70.37,55.2,1.36,18600,734,16.3,3.22,929,97.8,是
H400×200,390,198,6,8,13,55.57,43.6,1.54,14700,1040,16.2,4.31,752,105,
H400×200,396,199,7,11,13,71.41,56.1,1.55,19800,1450,16.6,4.50,999,145,
H400×200,400,200,8,13,13,83.37,65.4,1.56,23500,1740,16.8,4.56,1170,174,是
H400×200,406,202,10,16,13,103.5,81.2,1.58,29400,2200,16.9,4.61,1450,218,
H400×200,412,203,11,19,13,119.7,94.0,1.59,35100,2650,17.1,4.71,1700,262,
H400×250,402,251,10,14,13,109.1,85.6,1.77,31300,3690,16.9,5.82,1560,294,是
H400×250,410,252,11,18,13,133.3,105,1.78,40200,4810,17.4,6.00,1960,381,
H400×300,390,300,10,16,13,133.3,105,1.94,37900,7200,16.9,7.35,1940,480,
H400×300,400,302,12,21,13,171.3,134,1.96,50600,9650,17.2,7.51,2530,639,是
H400×300,410,305,15,26,13,213.8,168,1.99,64700,12300,17.4,7.59,3160,807,
H400×300,420,308,18,31,13,256.9,202,2.01,79700,15100,17.6,7.67,3800,982,
H400×350,400,350,12,21,22,194.1,152,2.14,58700,15000,17.4,8.80,2930,858,是
H400×350,470,373,35,56,22,547.2,430,2.32,195000,48600,18.9,9.42,8290,2610,
H400×350,510,383,45,76,22,747.4,587,2.42,295000,71500,19.9,9.78,11600,3730,
H400×400,388,402,15,15,22,178.5,140,2.32,49000,16300,16.6,9.54,2520,809,
H400×400,394,398,11,18,22,186.8,147,2.32,56100,18900,17.3,10.1,2850,951,
H400×400,394,405,18,18,22,214.4,168,2.33,59700,20000,16.7,9.64,3030,985,
H400×400,400,400,13,21,22,218.7,172,2.34,66600,22400,17.5,10.1,3330,1120,是
H400×400,400,408,21,21,22,250.7,197,2.35,70900,23800,16.8,9.74,3540,1170,
H400×400,414,405,18,28,22,295.4,232,2.37,92800,31000,17.7,10.2,4480,1530,
H400×400,428,407,20,35,22,360.7,283,2.41,119000,39400,18.2,10.4,5570,1930,
H400×400,458,417,30,50,22,528.6,415,2.49,187000,60500,18.8,10.7,8170,2900,
H400×400,498,432,45,70,22,770.1,604,2.60,298000,94400,19.7,11.1,12000,4370,
H400×400,518,437,50,80,22,882.4,693,2.65,359000,112000,20.2,11.3,13900,5110,
H400×400,538,442,55,90,22,996.7,782,2.70,427000,130000,20.7,11.4,15900,5890,
H400×400,558,452,65,100,22,1141,896,2.76,508000,155000,21.1,11.6,18200,6850,
H450×150,446,150,7,12,13,66.99,52.6,1.46,22000,677,18.1,3.17,985,90.3,
H450×150,450,151,8,14,13,77.49,60.8,1.47,25700,806,18.2,3.22,1140,107,是
H450×150,456,154,11,17,13,100.2,78.7,1.48,32800,1040,18.1,3.22,1440,135,
H450×200,446,199,8,12,13,82.97,65.1,1.65,28100,1580,18.4,4.36,1260,159,
H450×200,450,200,9,14,13,95.43,74.9,1.66,32900,1870,18.6,4.42,1460,187,是
H450×200,460,203,12,19,13,129.2,101,1.69,45700,2660,18.8,4.53,1990,262,
H450×250,450,252,11,16,13,128.1,101,1.86,45300,4270,18.8,5.78,2010,339,是
H450×250,460,254,13,21,13,162.5,128,1.89,60000,5740,19.2,5.95,2610,452,
H450×300,440,300,11,18,13,153.9,121,2.04,54700,8110,18.9,7.25,2490,540,
H450×300,450,304,15,23,13,201.9,158,2.06,72600,10800,19.0,7.31,3230,709,是
H450×300,460,306,17,28,13,241.5,190,2.09,90000,13400,19.3,7.45,3910,875,
H450×350,450,350,12,23,13,210.9,166,2.25,80600,16400,19.6,8.83,3580,940,是
H450×350,454,354,16,25,13,243.1,191,2.27,90900,18500,19.3,8.72,4000,1050,
H450×400,454,400,13,22,22,233.5,183,2.44,91300,23500,19.8,10.0,4020,1170,是
H450×400,460,402,15,25,22,266.7,209,2.46,105000,27100,19.9,10.1,4590,1350,
H450×400,470,405,18,30,22,321.0,252,2.49,130000,33200,20.1,10.2,5520,1640,
H450×450,446,450,20,20,22,265.4,208,2.61,94500,30400,18.9,10.7,4240,1350,是
H450×450,466,460,30,30,22,402.0,316,2.67,150000,48800,19.3,11.0,6430,2120,
H450×450,486,456,26,40,22,474.5,372,2.71,198000,63300,20.4,11.5,8150,2780,
H475×150,470,150,7,13,13,71.53,56.2,1.50,26200,733,19.1,3.20,1110,97.8,是
H475×150,475,151.5,8.5,15.5,13,86.15,67.6,1.52,31700,901,19.2,3.23,1330,119,
H475×150,482,153.5,10.5,19,13,106.4,83.5,1.53,39600,1150,19.3,3.28,1640,150,
H500×150,492,150,7,12,13,70.21,55.1,1.55,27500,677,19.8,3.10,1120,90.3,
H500×150,500,152,9,16,13,92.21,72.4,1.57,37000,940,20.0,3.19,1480,124,是
H500×150,504,153,10,18,13,103.3,81.1,1.58,41900,1080,20.1,3.23,1660,141,
H500×200,496,199,9,14,13,99.29,77.9,1.75,40800,1840,20.3,4.30,1650,185,
H500×200,500,200,10,16,13,112.3,88.1,1.76,46800,2140,20.4,4.36,1870,214,是
H500×200,506,201,11,19,13,129.3,102,1.77,55500,2580,20.7,4.46,2190,257,
H500×200,510,202,12,21,13,142.5,112,1.78,61800,2890,20.8,4.51,2420,286,
H500×250,500,252,12,16,13,138.3,109,1.96,58300,4280,20.5,5.56,2330,339,是
H500×250,510,254,14,21,13,173.7,136,1.99,76500,5750,21.0,5.75,3000,453,
H500×300,482,300,11,15,13,141.2,111,2.12,58300,6760,20.3,6.91,2420,450,
H500×300,488,300,11,18,13,159.2,125,2.13,68900,8110,20.8,7.13,2820,540,
H500×300,496,301,12,22,13,188.1,148,2.15,84400,10000,21.2,7.29,3400,665,
H500×300,500,303,14,24,13,210.2,165,2.16,93900,11100,21.1,7.28,3760,735,是
H500×300,502,310,20,25,13,246.9,194,2.18,104000,12400,20.6,7.10,4160,803,
H500×350,492,346,12,20,13,194.1,152,2.32,87100,13800,21.2,8.44,3540,799,
H500×350,500,350,16,24,13,241.8,190,2.35,108000,17200,21.2,8.43,4330,981,是
H500×350,508,352,18,28,13,279.9,220,2.37,128000,20400,21.4,8.53,5050,1160,
H500×400,502,407,20,25,22,298.1,234,2.55,133000,28100,21.1,9.72,5310,1380,是
H500×400,512,412,25,30,22,364.4,286,2.58,165000,35000,21.3,9.81,6450,1700,
H500×400,522,417,30,35,22,431.7,339,2.61,198000,42400,21.4,9.91,7600,2030,
H500×475,492,465,15,20,22,258.0,202,2.78,117000,33500,21.3,11.4,4770,1440,
H500×475,502,465,15,25,22,304.5,239,2.80,146000,41900,21.9,11.7,5810,1800,是
H500×475,502,470,20,25,22,329.6,259,2.81,151000,43300,21.4,11.5,6020,1840,
H500×500,490,490,15,20,22,267.7,210,2.87,122000,39200,21.3,12.1,4970,1600,
H500×500,500,500,25,25,22,366.7,288,2.91,162000,52200,21.0,11.9,6490,2090,是
H500×500,514,500,25,32,22,436.7,343,2.94,207000,66700,21.8,12.4,8060,2670,
H550×200,546,199,9,14,13,103.8,81.5,1.85,50800,1840,22.1,4.21,1860,185,
