型号,H,B,t1,t2,r,截面面积_cm2,理论重量_kg/m,外表面积_m2/m,Ix_cm4,Iy_cm4,ix_cm,iy_cm,Wx_cm3,Wy_cm3,基准规格△
HK300×300,312.3,312.9,17.5,17.6,15.2,160.6,126,1.82,27400,9000,13.1,7.49,1760,575,
HK300×300,314,307,11.9,18.7,15,149.7,118,1.81,27500,9020,13.6,7.76,1750,588,
HK300×300,318,308,13.1,20.6,15,165.1,130,1.82,30800,10000,13.7,7.80,1940,652,
HK300×300,318.5,316,20.6,20.7,15.2,189.9,149,1.83,33100,10900,13.2,7.58,2080,691,
HK300×300,320,300,11.5,20.5,27,161.3,127,1.77,30800,9240,13.8,7.57,1930,616,
HK300×300,320.5,309.2,13.8,21.7,15.2,174.4,137,1.82,32800,10700,13.7,7.83,2050,692,
HK300×300,323,309,14,22.9,15,182.3,143,1.83,34800,11300,13.8,7.86,2150,729,
HK300×300,326.7,319.7,24.8,24.8,15.2,229.3,180,1.86,41000,13500,13.4,7.69,2510,847,
HK300×300,327,310,15.5,25.1,15,200.5,157,1.84,38600,12500,13.9,7.89,2360,805,
HK300×300,328.3,320.9,25.5,25.6,15.2,236.9,186,1.86,42600,14100,13.4,7.73,2600,881,
HK300×300,333,313,18,28.1,15,227.7,179,1.86,44500,14400,14.0,7.95,2670,919,
HK300×300,337.9,325.7,30.3,30.4,15.2,284.0,223,1.89,52700,17600,13.6,7.87,3120,1080,
HK300×300,339.9,314.5,19.1,31.4,15.2,252.4,198,1.87,50900,16300,14.2,8.04,3000,1040,
HK350×150,350,150,4.5,6,5,33.42,26.2,1.28,6830,338,14.3,3.18,391,45.0,
HK350×150,360,170,8,12.7,18,72.73,57.1,1.35,16300,1040,15.0,3.79,904,123,
HK350×175,352,171,6.9,9.8,10,57.31,45.0,1.36,12200,818,14.6,3.78,691,95.7,
HK350×175,355,171,7.2,11.6,10,64.42,50.6,1.36,14100,968,14.8,3.88,796,113,
HK350×175,356,174,6,14,13,69.85,54.8,1.37,16400,1230,15.3,4.20,921,141,
HK350×175,358,172,7.9,13.1,10,72.13,56.6,1.37,16000,1110,14.9,3.93,896,129,
HK350×175,372,178,10,21,13,109.2,85.7,1.41,26400,1980,15.6,4.26,1420,222,
HK350×200,350,204,8.6,15.1,15,91.04,71.5,1.47,20100,2140,14.9,4.85,1150,210,
HK350×200,354,205,9.4,16.8,15,100.9,79.2,1.48,22600,2420,15.0,4.89,1280,236,
HK350×250,353,254,9.5,16.4,15,115.7,90.8,1.68,26700,4480,15.2,6.23,1510,353,
HK350×250,357,255,10.5,18.3,15,128.9,101,1.69,30100,5060,15.3,6.27,1690,397,
HK350×250,360,256,11.4,19.9,15,140.3,110,1.70,33100,5570,15.4,6.30,1840,435,
HK350×250,363,257,13,21.7,15,155.0,122,1.70,36500,6150,15.4,6.30,2010,478,
HK350×300,330,300,9.5,16.5,27,133.5,105,1.79,27700,7440,14.4,7.46,1680,496,
HK350×300,340,310,21,39,27,303.1,238,1.83,59200,19400,14.0,8.00,3480,1250,
HK350×300,340,300,12,21.5,27,170.9,134,1.81,36700,9690,14.6,7.53,2160,646,
HK350×300,341,315,20,31.8,15,257.8,202,1.88,52000,16600,14.2,8.02,3050,1050,
HK350×300,347,203,7.7,13.5,15,81.38,63.9,1.46,17800,1880,14.8,4.81,1030,186,
HK350×300,348,317,22.1,35.6,15,288.8,227,1.89,59600,18900,14.4,8.10,3420,1190,
HK350×300,352.5,318.4,23,37.7,15.2,305.8,240,1.91,64200,20300,14.5,8.15,3640,1280,
HK350×300,356,319,24.4,39.6,15,322.1,253,1.91,68200,21500,14.6,8.16,3830,1350,
HK350×300,357,320,26,40,13,329.5,259,1.92,69500,21900,14.5,8.15,3900,1370,
HK350×300,359,309,21,40,27,312.0,245,1.87,68100,19700,14.8,7.95,3800,1280,
HK350×300,360,300,12.5,22.5,27,180.6,142,1.85,43200,10100,15.5,7.49,2400,676,
HK350×300,365,322,26.9,44.1,15,360.4,283,1.94,78700,24600,14.8,8.26,4310,1530,
HK350×300,374,325,30,48.3,15,399.1,313,1.96,89600,27700,15.0,8.33,4790,1700,
HK350×300,377,309,21,40,27,315.8,248,1.90,76400,19700,15.6,7.90,4050,1280,
HK350×350,356,369,11.2,18,15,170.6,134,2.14,41500,15100,15.6,9.40,2330,817,
HK350×350,360,370,12.3,19.8,15,187.9,148,2.15,46300,16700,15.7,9.43,2570,904,
HK350×350,362,370.5,12.3,20.7,15.2,194.8,153,2.16,48600,17600,15.8,9.49,2680,948,
HK350×350,364,371,13.3,21.8,15,206.3,162,2.16,51500,18600,15.8,9.49,2830,1000,
